owner_no,tel,address,access,table_count,payment_method
26,03-5962-8507,東京都中央区銀座8-3-12 銀座須賀ビル2F,銀座駅 徒歩5分,6,現金、クレカ、PokerWebCoin
27,0422-27-5123,東京都武蔵野市吉祥寺南町1-3-3 吉祥寺南口ビル3F,JR・京王井の頭線吉祥寺駅南口から徒歩1分,6,現金、クレカ、PokerWebCoin
28,03-6805-2469,東京都世田谷区北沢2-11-5 月村ビル2F,小田急・京王井の頭線下北沢駅から徒歩2分,6,現金、クレカ、PokerWebCoin
29,028-305-4173,栃木県宇都宮市江野町7-7 B1,東武宇都宮駅 徒歩4分,6,現金、クレカ、PokerWebCoin
30,03-6869-7085,東京都台東区浅草橋1丁目13-6浅草橋STビル2F,JR総武線浅草橋駅A3出口から徒歩1分,6,現金、クレカ、PokerWebCoin
31,028-615-7960,栃木県宇都宮市東宿郷2-3-8 4階,宇都宮駅から徒歩1分,6,現金、クレカ、PokerWebCoin
32,06-6195-8936,大阪府大阪市淀川区十三本町1-9-4 2F,十三駅から徒歩3分,6,現金、クレカ、PokerWebCoin
33,03-6435-5036,東京都港区赤坂6-3-15 J-AKASAKAビル 5階,赤坂駅 徒歩1分,6,現金、クレカ、PokerWebCoin
34,03-5904-9915,東京都豊島区池袋2-12-13 十二ビル 502,池袋駅 徒歩5分,6,現金、クレカ、PokerWebCoin
35,03-6273-9072,東京都新宿区歌舞伎町1-3-5 相模観光ビルイーストプラザ 3F,新宿駅 徒歩7分,6,現金、クレカ、PokerWebCoin
36,03-6694-6676,東京都新宿区高田馬場1丁目34-13 愛染堂ビル 5F,高田馬場駅 徒歩1分,6,現金、クレカ、PokerWebCoin
37,03-6416-1378,東京都渋谷区神南1丁目20-4 VORT渋谷briller 1F,渋谷駅 徒歩5分,6,現金、クレカ、PokerWebCoin
38,03-6459-3286,東京都渋谷区恵比寿1丁目10-7 TIB恵比寿 7F,恵比寿駅 徒歩1分,6,現金、クレカ、PokerWebCoin
39,03-6438-9115,東京都港区六本木7丁目12-3 パワーハウス六本木ビル B1,六本木駅 徒歩1分,6,現金、クレカ、PokerWebCoin
40,03-5817-8460,東京都台東区上野2-12-16 池之端スカイビルB1F,上野駅 徒歩5分,6,現金、クレカ、PokerWebCoin
41,048-729-6225,埼玉県さいたま市大宮区宮町2-11 コスモプラザ大宮4F,JR大宮駅東口から徒歩3分,6,現金、クレカ、PokerWebCoin
42,03-5786-3447,東京都目黒区上目黒3-6-18 TYビル4F,中目黒駅から徒歩5分,6,現金、クレカ、PokerWebCoin
43,03-6260-0825,東京都港区港南2-5-5 港南OMTビル 6F,品川駅港南口より徒歩3分,6,現金、クレカ、PokerWebCoin
44,03-6279-2700,東京都新宿区高田馬場1-17-13 雅ビル8F,JR高田馬場駅早稲田口から徒歩1分,6,現金、クレカ、PokerWebCoin
45,03-6555-2399,東京都港区芝大門２丁目４－１ 大門マイアミビル5階,大門駅A３出口より徒歩2分,6,現金、クレカ、PokerWebCoin
46,03-4500-2879,東京都渋谷区恵比寿１丁目１１−１ エビスリヨンビル7F,恵比寿駅 徒歩1分,6,現金、クレカ、PokerWebCoin
47,045-306-8032,神奈川県横浜市中区真砂町3丁目33 セルテ 6F,関内駅 徒歩1分,6,現金、クレカ、PokerWebCoin
48,03-6432-4123,東京都港区新橋4-15-4 ル・グラシエルBLDG.38号館 2階,新橋駅から徒歩3分,6,現金、クレカ、PokerWebCoin
49,06-6214-0007,大阪府大阪市中央区心斎橋筋2-6-14 アクロスビル5階,なんば駅 徒歩4分,6,現金、クレカ、PokerWebCoin
50,03-6803-0016,東京都文京区湯島3-39-10 第2大和ビル7F,上野御徒町駅A4出口より徒歩1分,6,現金、クレカ、PokerWebCoin
51,03-6206-9119,東京都新宿区市谷本村町2-21 市ヶ谷キャナルコート3階,市ヶ谷駅 徒歩5分,6,現金、クレカ、PokerWebCoin
52,06-6335-9998,大阪府大阪市北区太融寺町8-17 プラザ梅田ビル11階,梅田駅 徒歩5分,6,現金、クレカ、PokerWebCoin
53,03-3733-6022,東京都大田区蒲田5-17-2 ニッシンビル4F,JR蒲田駅東口から徒歩3分,6,現金、クレカ、PokerWebCoin
54,06-6360-9958,大阪府大阪市北区小松原町1-7 ミスターりんビル 4F,梅田駅 徒歩7分,6,現金、クレカ、PokerWebCoin
55,03-6384-5787,東京都港区六本木５丁目８−３ 中野ビル 3F,六本木駅 徒歩1分,6,現金、クレカ、PokerWebCoin
56,03-6450-6465,東京都渋谷区渋谷３－２７－１１GEMS渋谷８F,渋谷駅 徒歩5分,6,現金、クレカ、PokerWebCoin
57,03-6428-6553,東京都大田区西蒲田5-27-17 陳ビル2F,蒲田駅 徒歩5分,6,現金、クレカ、PokerWebCoin
58,03-6910-5454,東京都港区六本木4丁目12-8 第6DMJビルB1,六本木駅 徒歩1分,6,現金、クレカ、PokerWebCoin
59,03-6770-6477,東京都杉並区阿佐谷北2-2-8-3階,阿佐ヶ谷駅から徒歩2分,6,現金、クレカ、PokerWebCoin
60,03-6420-0015,東京都品川区西五反田２丁目６−１５ 栄華ビル 4F,五反田駅徒歩2分,6,現金、クレカ、PokerWebCoin
61,03-6416-5267,東京都渋谷区恵比寿西1-33-25 コリーヌ代官山2F,代官山駅から徒歩2分,6,現金、クレカ、PokerWebCoin
62,03-6434-7341,東京都渋谷区恵比寿南1-5-2 恵比寿JEBL B1F,恵比寿駅西口から徒歩5分,6,現金、クレカ、PokerWebCoin
63,03-5829-8025,東京都目黒区中目黒1-1-71 KN代官山3F,中目黒駅から徒歩3分,6,現金、クレカ、PokerWebCoin
64,03-6805-3405,東京都世田谷区北沢2-26-5 森田ビル4F,下北沢駅南西口から徒歩1分,6,現金、クレカ、PokerWebCoin
65,03-6457-8180,東京都新宿区新宿3-35-3 新宿君嶋ビル4F,新宿三丁目駅から徒歩1分,6,現金、クレカ、PokerWebCoin
66,03-6825-5780,東京都渋谷区恵比寿西1-17-2 プルデンシャルタワー3F,恵比寿駅西口から徒歩3分,6,現金、クレカ、PokerWebCoin
67,03-6279-4960,東京都新宿区高田馬場2-14-6 新東京ビル5F,高田馬場駅から徒歩2分,6,現金、クレカ、PokerWebCoin
68,03-3464-8088,東京都渋谷区恵比寿1-7-12 追分ビル5F,恵比寿駅東口から徒歩2分,6,現金、クレカ、PokerWebCoin
69,047-455-7765,千葉県習志野市津田沼1-2-22 新津田沼駅前ビル4F,JR津田沼駅から徒歩1分,6,現金、クレカ、PokerWebCoin
70,03-6826-2988,東京都渋谷区恵比寿西1-2-7 恵比寿UKビル4F,恵比寿駅西口から徒歩2分,6,現金、クレカ、PokerWebCoin
71,03-3980-4181,東京都豊島区南池袋1-16-18 SJ南池袋ビル6F,池袋駅東口から徒歩3分,6,現金、クレカ、PokerWebCoin
72,0465-43-9399,神奈川県小田原市栄町1-14-48 小田原OSCビル3F,JR小田原駅から徒歩5分,6,現金、クレカ、PokerWebCoin
73,045-620-3456,神奈川県横浜市港北区新横浜2-5-19 アプリ新横浜ビル4F,JR新横浜駅から徒歩3分,6,現金、クレカ、PokerWebCoin
74,046-244-7890,神奈川県大和市中央1-7-32 ダイエー大和店5F,小田急・相鉄大和駅から徒歩2分,6,現金、クレカ、PokerWebCoin
75,042-860-1234,東京都町田市原町田6-7-8 DKビル4F,JR町田駅から徒歩3分,6,現金、クレカ、PokerWebCoin
76,045-290-7788,神奈川県横浜市西区南幸1-5-39 太陽生命横浜西口ビル8F,横浜駅西口から徒歩3分,6,現金、クレカ、PokerWebCoin
77,042-312-3456,東京都国分寺市南町3-11-17 尾崎ビル2F,JR国分寺駅南口から徒歩2分,6,現金、クレカ、PokerWebCoin
78,03-5674-8899,東京都江戸川区中葛西3-37-16 第二田中ビル3F,東京メトロ東西線葛西駅から徒歩5分,6,現金、クレカ、PokerWebCoin
79,03-3572-5678,東京都中央区銀座7-3-7 ブランエスパ銀座ビル8F,銀座駅から徒歩3分,6,現金、クレカ、PokerWebCoin
80,03-6455-2345,東京都渋谷区道玄坂2-25-12 道玄坂通りビル6F,渋谷駅ハチ公口から徒歩5分,6,現金、クレカ、PokerWebCoin
81,03-6205-7890,東京都港区新橋2-16-1 ニュー新橋ビル5F,新橋駅から徒歩2分,6,現金、クレカ、PokerWebCoin
82,03-5366-4567,東京都新宿区歌舞伎町1-2-3 新宿セントラルビル7F,新宿駅東口から徒歩5分,6,現金、クレカ、PokerWebCoin
83,03-5950-1234,東京都豊島区東池袋1-22-5 サンケエビル4F,池袋駅東口から徒歩3分,6,現金、クレカ、PokerWebCoin
84,03-5318-9876,東京都中野区中野5-52-15 中野ブロードウェイ4F,JR中野駅北口から徒歩5分,6,現金、クレカ、PokerWebCoin
85,03-6427-6543,東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイス内,恵比寿駅から徒歩7分,6,現金、クレカ、PokerWebCoin
86,03-5355-7890,東京都世田谷区松原2-46-1 フラワーマンション明大前3F,京王・小田急明大前駅から徒歩2分,6,現金、クレカ、PokerWebCoin
87,03-5775-2468,東京都港区六本木3-16-35 六本木デュープレックス4F,六本木駅から徒歩2分,6,現金、クレカ、PokerWebCoin
